id,name,title,location,lat,lng,tags,bio,email,photo
71,Raja Krishnamoorthi,U.S. Senator,"Springfield, IL",39.7817,-89.6501,"leadership,democracy,governance,federal-legislation,policy,democratic",Raja works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,raja-krishnamoorthi.jpg
72,Seth Moulton,U.S. Senator,"Boston, MA",42.3601,-71.0589,"leadership,democracy,governance,federal-legislation,policy,democratic",Seth works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,seth-moulton.jpg
73,Elissa Slotkin,U.S. Senator,"Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,federal-legislation,policy,democratic","Elissa serves as U.S. Senator for Michigan, working to strengthen democratic institutions and civic engagement.",,elissa-slotkin.jpg
74,Angie Craig,U.S. Senator,"St. Paul, MN",44.9537,-93.09,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Angie is committed to defending voting rights and ensuring fair elections in Minnesota.",,angie-craig.jpg
75,Dan Osborn (I),U.S. Senator,"Lincoln, NE",40.8136,-96.7026,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Dan is committed to defending voting rights and ensuring fair elections in Nebraska.",,dan-osborn-i.jpg
76,Roy Cooper,U.S. Senator,"Raleigh, NC",35.7796,-78.6382,"leadership,democracy,governance,federal-legislation,policy,democratic",Roy works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,roy-cooper.jpg
77,Sherrod Brown,U.S. Senator,"Washington, DC",38.9072,-77.0369,"leadership,democracy,governance,federal-legislation,policy,democratic","As U.S. Senator, Sherrod is committed to defending voting rights and ensuring fair elections in Ohio (SE).",,sherrod-brown.jpg
78,Jack Reed,U.S. Senator,"Providence, RI",41.824,-71.4128,"leadership,democracy,governance,federal-legislation,policy,democratic","Serving Rhode Island as U.S. Senator, Jack champions democratic values and good governance.",,jack-reed.jpg
79,Mark Warner,U.S. Senator,"Richmond, VA",37.5407,-77.436,"leadership,democracy,governance,federal-legislation,policy,democratic",Mark works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,mark-warner.jpg
80,Tim Kaine,U.S. Senator,"Richmond, VA",37.5407,-77.436,"leadership,democracy,governance,federal-legislation,policy,democratic",Tim works tirelessly as U.S. Senator to protect democratic norms and expand civic participation.,,tim-kaine.jpg
81,Adrian Fontes,Secretary of State,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Adrian brings dedicated leadership to the role of Secretary of State, focusing on transparency and accountability.",,adrian-fontes.jpg
82,Dana Barrett,Secretary of State,"Atlanta, GA",33.749,-84.388,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Dana serves as Secretary of State for Georgia, working to strengthen democratic institutions and civic engagement.",,dana-barrett.jpg
83,Phil McGrane,Secretary of State,"Boise, ID",43.615,-116.2023,"leadership,democracy,governance,voting-rights,electoral-reform,republican",Phil works tirelessly as Secretary of State to protect democratic norms and expand civic participation.,,phil-mcgrane.jpg
84,Barbara Byrum,Secretary of State,"Lansing, MI",42.7325,-84.5555,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving Michigan as Secretary of State, Barbara champions democratic values and good governance.",,barbara-byrum.jpg
85,Sarah Godlewski,Secretary of State,"Madison, WI",43.0731,-89.4012,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Sarah brings dedicated leadership to the role of Secretary of State, focusing on transparency and accountability.",,sarah-godlewski.jpg
86,Sen. Eric Bassler,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-eric-bassler.jpg
87,Sen. Vaneta Becker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-vaneta-becker.jpg
88,Sen. Mike Bohecek,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-mike-bohecek.jpg
89,Sen. Rodric Bray,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-rodric-bray.jpg
90,Sen. Brian Buchanan,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-brian-buchanan.jpg
91,Sen. Jim Buck,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-jim-buck.jpg
92,Sen. Ed Charbonneau,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-ed-charbonneau.jpg
93,Sen. Brett Clark,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-brett-clark.jpg
94,Sen. Mike Crider,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-mike-crider.jpg
95,Sen. Spencer Deery,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. brings dedicated leadership to the role of State Senator, focusing on transparency and accountability.",,sen-spencer-deery.jpg
96,Sen. Dan Dernulc,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-dan-dernulc.jpg
97,Sen. Blake Doriot,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-blake-doriot.jpg
98,Sen. Sue Glick,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-sue-glick.jpg
99,Sen. Greg Goode,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. brings dedicated leadership to the role of State Senator, focusing on transparency and accountability.",,sen-greg-goode.jpg
100,Sen. Travis Holdman,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Sen. serves as State Senator for Indiana, working to strengthen democratic institutions and civic engagement.",,sen-travis-holdman.jpg
101,Sen. Jean Leising,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-jean-leising.jpg
102,Sen. Ryan Mishler,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-ryan-mishler.jpg
103,Sen. Rick Niemeyer,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-rick-niemeyer.jpg
104,Sen. Linda Rogers,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","Serving Indiana as State Senator, Sen. champions democratic values and good governance.",,sen-linda-rogers.jpg
105,Sen. Greg Walker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican","As State Senator, Sen. is committed to defending voting rights and ensuring fair elections in Indiana.",,sen-greg-walker.jpg
106,Sen. Kyle Walker,State Senator,"Indianapolis, IN",39.7684,-86.1581,"leadership,democracy,governance,state-policy,local-leadership,republican",Sen. works tirelessly as State Senator to protect democratic norms and expand civic participation.,,sen-kyle-walker.jpg
